strain	stress
0.246722767	159.415354
0.156684042	101.2262475
0.164252648	60.96126207
0.070660371	21.67705727
1.547350836	223.610611
3.664003043	244.1184294
5.883836667	252.8962338
8.104156964	259.0849372
10.32459473	264.6486851
12.54523389	269.1410809
14.76599051	273.0085212
16.98679748	276.6081235
19.20768836	279.7613291
21.42869671	282.2895792
23.64972185	284.72855
25.87086445	286.5425653
28.0920574	288.0887427
30.31340139	288.8314059
32.53469504	289.8419071
34.75610615	290.2274529
36.97763474	289.9880433
39.19933115	288.8558402
41.42112825	287.187961
