F	D
0.	0.
126.32	5.6257e-003
252.63	1.1252e-002
442.11	1.9692e-002
631.58	2.8133e-002
757.89	3.3761e-002
884.21	3.939e-002
1073.7	4.7834e-002
1263.2	5.6279e-002
1389.5	6.1909e-002
1515.8	6.754e-002
1705.3	7.5988e-002
1894.7	8.4436e-002
2021.1	9.0069e-002
2147.4	9.5703e-002
2336.8	0.10415
2526.3	0.11261
2652.6	0.11824
2778.9	0.12388
2968.4	0.13233
3157.9	0.14079
3284.2	0.14643
3410.5	0.15206
3600.	0.16052
3789.5	0.16898
3915.8	0.17462
4042.1	0.18026
4231.6	0.18873
4421.1	0.19719
4547.4	0.20283
4673.7	0.20847
4863.2	0.21694
5052.6	0.22541
5178.9	0.23105
5305.3	0.2367
5494.7	0.24517
5684.2	0.25364
5810.5	0.25929
5936.8	0.26493
6126.3	0.27341
6315.8	0.28188
6442.1	0.28753
6568.4	0.29318
6757.9	0.30166
6947.4	0.31014
7073.7	0.31579
7200.	0.32144
7389.5	0.32992
7578.9	0.3384
7705.3	0.3441
7831.6	0.34988
8021.1	0.35908
8210.5	0.44585
8336.8	0.64304
8463.2	1.1162
8652.6	1.9416
8842.1	2.8186
8968.4	3.4316
9094.7	4.0671
9284.2	5.0638
9473.7	6.1124
9600.	6.8411
9726.3	7.5948
9915.8	8.7734
10105	10.013
10232	10.877
10358	11.771
10547	13.161
10737	14.633
10863	15.665
10989	16.733
11179	18.441
11368	20.263
11495	21.551
11621	22.88
11811	24.999
12000	27.269
