F	D
0.	0.
89.474	3.9848e-003
178.95	7.9699e-003
313.16	1.3948e-002
447.37	1.9926e-002
536.84	2.3912e-002
626.32	2.7899e-002
760.53	3.3879e-002
894.74	3.9859e-002
984.21	4.3846e-002
1073.7	4.7834e-002
1207.9	5.3815e-002
1342.1	5.9798e-002
1431.6	6.3786e-002
1521.1	6.7775e-002
1655.3	7.3758e-002
1789.5	7.9742e-002
1878.9	8.3733e-002
1968.4	8.7722e-002
2102.6	9.3707e-002
2236.8	9.9693e-002
2326.3	0.10368
2415.8	0.10768
2550.	0.11366
2684.2	0.11965
2773.7	0.12364
2863.2	0.12763
2997.4	0.13362
3131.6	0.13961
3221.1	0.14361
3310.5	0.1476
3444.7	0.15359
3578.9	0.15958
3668.4	0.16358
3757.9	0.16757
3892.1	0.17356
4026.3	0.17956
4115.8	0.18355
4205.3	0.18755
4339.5	0.19354
4473.7	0.19954
4563.2	0.20354
4652.6	0.20753
4786.8	0.21353
4921.1	0.21953
5010.5	0.22353
5100.	0.22752
5234.2	0.23352
5368.4	0.23952
5457.9	0.24352
5547.4	0.24752
5681.6	0.25352
5815.8	0.25952
5905.3	0.26352
5994.7	0.26752
6128.9	0.27352
6263.2	0.27953
6352.6	0.28353
6442.1	0.28753
6576.3	0.29353
6710.5	0.29954
6800.	0.30354
6889.5	0.30755
7023.7	0.31355
7157.9	0.31956
7247.4	0.32356
7336.8	0.32757
7471.1	0.33357
7605.3	0.33959
7694.7	0.34364
7784.2	0.34775
7918.4	0.35412
8052.6	0.36157
8142.1	0.38036
8231.6	0.41744
8365.8	0.52356
8500.	0.69132
