	N	S
0	1000.0	504.0000000000004
1	2000.0	471.3133675835973
2	3000.0	453.18465277975105
3	4000.0	440.74660806149006
4	5000.0	431.33448564763387
5	6000.0	423.7936207119595
6	7000.0	417.52085629435805
7	8000.0	412.16223828672344
8	9000.0	407.4927172918717
9	10000.0	403.3605337014385
10	20000.0	377.2008164467102
11	30000.0	362.69207025901056
12	40000.0	352.7376727277405
13	50000.0	345.20497685449385
14	60000.0	339.1698829953191
15	70000.0	334.14967346502726
16	80000.0	329.86107223593666
17	90000.0	326.1239681077354
18	100000.0	322.8169050553753
19	200000.0	301.88079887810164
20	300000.0	290.2691806130039
21	400000.0	282.30249192076315
22	500000.0	276.2739359135342
23	600000.0	271.4439385326314
24	700000.0	267.4261718750291
25	800000.0	263.9939248897144
26	900000.0	261.00305124755346
27	1000000.0	258.35634744242594
