strain	stress
0.150134068	208.5656874
0.054881213	164.0412597
0.054881213	129.0649598
0.054881213	94.08865988
0.054881213	59.11235998
0.035830642	25.19412057
0.226336351	297.2061206
0.112032926	254.6671552
0.340639776	357.6306939
0.626398339	408.9301807
1.483674028	442.9770022
2.741011706	464.921665
3.998349383	475.1593844
5.25568706	484.3853928
6.513024738	492.3106296
7.770362415	499.2241553
9.027700092	505.4150301
10.28503777	511.605905
11.54237545	517.5077195
12.79971312	522.8314134
14.0570508	527.4324564
15.31438848	532.46709
16.57172616	536.200952
17.82906383	540.2238744
19.08640151	543.9577364
20.34373919	547.258008
21.60107687	550.4137494
22.85841454	552.9913701
24.11575222	554.84634
25.3730899	557.5684909
26.63042757	559.4234608
27.88776525	560.9893704
29.14510293	562.55528
30.40244061	564.4102499
31.65977828	564.5308578
32.91711596	565.8077071
34.17445364	566.6509658
35.43179132	566.4825134
36.68912899	566.4585912
37.94646667	565.1338975
39.20380435	563.2310831
