strain	stress
0.	0.
0.164978527	146.4990938
0.389109472	174.9505905
0.762661049	197.5119469
1.279886308	221.2744292
3.003970505	236.0454527
4.647597439	245.0678883
6.291224374	250.5945117
8.024503687	256.67842
9.578478243	256.9080039
11.22210518	264.2457668
12.86573211	265.8816336
14.50935905	268.8737403
16.15298598	271.9344732
17.79661292	274.5013935
19.44023985	277.4261429
21.08386679	279.6713977
22.72749372	280.8019262
24.37112065	282.4165391
26.01474759	284.1377393
27.65837452	285.0728577
29.30200146	286.3810318
30.94562839	286.1370273
32.58925533	287.0654839
34.23288226	287.0279924
35.8765092	286.9905009
37.52013613	285.4541244
39.16376307	283.5846624
40.80739	281.5486576
42.45101694	275.7228794
